Subbasin,Flocnst,Sedcnst,Orgncnst,Orgpcnst,No3cnst,Nh3cnst,No2cnst,Minpcnst,Cbodcnst,Disoxcnst,Chlacnst,Solpstcnst,Srbpstcnst,Bactpcnst,Bactlpcnst,Cmtl1cnst,Cmtl2cnst,Cmtl3cnst
18020002,4147.239,0.164,14.6,3.764,43.693,0,0,11.204,0,0,0,0,0,0,0,0,0,0
18020003,365212.774,4.097,546.411,74.049,1639.212,0,0,222.111,0,0,0,0,0,0,0,0,0,0
18020004,329097.533,3.916,401.562,58.613,1204.719,0,0,175.847,0,0,0,0,0,0,0,0,0,0
18020005,458611.114,5.15,661.518,89.86,1984.621,0,0,269.606,0,0,0,0,0,0,0,0,0,0
18020104,29376.019,1.485,166.098,46.883,498.252,0,0,140.617,0,0,0,0,0,0,0,0,0,0
18020111,584927.921,10.246,1535.629,364.883,4607.022,0,0,1094.766,0,0,0,0,0,0,0,0,0,0
18020115,139708.783,0.957,66.28,19.162,198.819,0,0,57.469,0,0,0,0,0,0,0,0,0,0
18020116,27734.408,0.798,101.2,26.897,303.577,0,0,80.675,0,0,0,0,0,0,0,0,0,0
18020121,140918.392,1.778,161.664,38.848,484.971,0,0,116.529,0,0,0,0,0,0,0,0,0,0
18020122,30153.609,1.055,27.412,7.023,82.202,0,0,21.041,0,0,0,0,0,0,0,0,0,0
18020123,83376.004,1.275,91.186,22.96,273.521,0,0,68.851,0,0,0,0,0,0,0,0,0,0
18020125,25142.412,0.425,50.019,12.923,150.022,0,0,38.74,0,0,0,0,0,0,0,0,0,0
18020126,69206.397,0.855,99.106,27.357,297.316,0,0,82.071,0,0,0,0,0,0,0,0,0,0
18020128,169948.785,2.215,267.521,70.145,802.561,0,0,210.436,0,0,0,0,0,0,0,0,0,0
18020129,55987.201,0.358,224.762,28.216,674.283,0,0,84.636,0,0,0,0,0,0,0,0,0,0
18020151,32083.929,1.353,120.635,27.368,361.905,0,0,82.103,0,0,0,0,0,0,0,0,0,0
18020152,70823.563,2.986,266.296,60.413,798.887,0,0,181.239,0,0,0,0,0,0,0,0,0,0
18020153,28174.718,1.157,103.706,23.397,311.119,0,0,70.191,0,0,0,0,0,0,0,0,0,0
18020154,51459,2.17,193.485,43.895,580.455,0,0,131.684,0,0,0,0,0,0,0,0,0,0
18020155,31793.707,1.341,119.544,27.12,358.632,0,0,81.361,0,0,0,0,0,0,0,0,0,0
18020156,75720.713,3.193,284.709,64.59,854.126,0,0,193.771,0,0,0,0,0,0,0,0,0,0
18020157,71468.089,3.014,268.719,60.963,806.157,0,0,182.888,0,0,0,0,0,0,0,0,0,0
18020158,61511.399,2.594,231.282,52.47,693.846,0,0,157.409,0,0,0,0,0,0,0,0,0,0
18020159,58611.421,2.438,217.716,49.487,653.148,0,0,148.462,0,0,0,0,0,0,0,0,0,0
18020161,49798.088,1.656,171.555,39.546,514.668,0,0,118.642,0,0,0,0,0,0,0,0,0,0
18020162,49102.555,2.07,184.625,41.885,553.875,0,0,125.654,0,0,0,0,0,0,0,0,0,0
18020163,92207.01,3.888,346.697,78.653,1040.091,0,0,235.959,0,0,0,0,0,0,0,0,0,0
18030001,127526.393,11.236,863.974,223.7,2591.977,0,0,671.155,0,0,0,0,0,0,0,0,0,0
18030002,202003.173,23.332,1117.041,289.505,3351.239,0,0,868.63,0,0,0,0,0,0,0,0,0,0
18030003,366595.173,48.433,1788.806,459.054,5366.527,0,0,1377.274,0,0,0,0,0,0,0,0,0,0
18030004,326332.74,43.554,1541.466,399.879,4624.593,0,0,1199.828,0,0,0,0,0,0,0,0,0,0
18030005,190166.38,21.434,1078.49,279.485,3235.568,0,0,838.552,0,0,0,0,0,0,0,0,0,0
18030006,102038.395,7.125,779.007,201.598,2337.08,0,0,604.853,0,0,0,0,0,0,0,0,0,0
18030007,114307.2,7.528,838.72,217.679,2516.203,0,0,653.084,0,0,0,0,0,0,0,0,0,0
18030009,415065.551,17.414,2307.091,612.952,6921.493,0,0,1839.08,0,0,0,0,0,0,0,0,0,0
18030010,377049.552,16.153,2120.206,562.65,6360.825,0,0,1688.161,0,0,0,0,0,0,0,0,0,0
18030012,265852.804,23.993,1430.357,374.78,4291.116,0,0,1124.402,0,0,0,0,0,0,0,0,0,0
18040001,165974.419,8.87,959.016,250.894,2877.044,0,0,752.693,0,0,0,0,0,0,0,0,0,0
18040002,447379.149,13.583,1878.853,434.29,5636.75,0,0,1303.033,0,0,0,0,0,0,0,0,0,0
18040003,1146614.225,24.387,2968.3,794.425,8905.132,0,0,2383.506,0,0,0,0,0,0,0,0,0,0
18040006,253497.574,10.721,1418.184,377.72,4254.696,0,0,1133.309,0,0,0,0,0,0,0,0,0,0
18040007,20131.201,0.949,130.28,34.158,390.838,0,0,102.471,0,0,0,0,0,0,0,0,0,0
18040008,10281.619,0.471,71.607,17.024,214.785,0,0,51.042,0,0,0,0,0,0,0,0,0,0
18040009,106790.407,1.107,113.133,28.026,339.339,0,0,84.028,0,0,0,0,0,0,0,0,0,0
18040010,74304.003,0.809,83.713,20.814,251.111,0,0,62.417,0,0,0,0,0,0,0,0,0,0
18040011,5443.208,0.318,33.123,8.515,99.35,0,0,25.531,0,0,0,0,0,0,0,0,0,0
18040012,6998.414,0.367,39.125,9.983,117.34,0,0,29.922,0,0,0,0,0,0,0,0,0,0
18040013,86572.797,1.037,302.875,50.094,908.632,0,0,150.275,0,0,0,0,0,0,0,0,0,0
18040014,252287.97,10.957,1337.963,346.786,4013.999,0,0,1040.462,0,0,0,0,0,0,0,0,0,0
18040051,35483.331,1.496,133.417,30.267,400.25,0,0,90.802,0,0,0,0,0,0,0,0,0,0
18050001,857001.448,26.45,2582.089,1042.956,7746.568,0,0,3129.327,0,0,0,0,0,0,0,0,0,0
18050002,301103.951,11.557,1407.286,502.151,4221.999,0,0,1506.661,0,0,0,0,0,0,0,0,0,0
